TT	WAIT_CLASS	EVENT_	SQL_OPNAME	SQL_PLAN_OPERATION	SQL_PLAN_OPTIONS	SQL_ID	CNT
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SEQUENCE	EMPTY	cf6s09j9wh7jm	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	0m0nusa57sftq	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	g1npwx5ur2m59	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	94vs02fcu9bsp	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SORT	AGGREGATE	cd7g9tha7a6qx	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	0zx4b460p3s8r	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	gpzjg0dvgf1h3	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	dbnjcht9bctyd	47
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	cqrubw5y9w9sn	7
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	cqrubw5y9w9sn	7
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	FIXED TABLE	FULL	b1d01znfww5sh	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	fgg0su12atubs	4
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	INDEX	RANGE SCAN	bb46rzh6jfqxa	2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	gs9m4a0h708wz	1
17/12/2020 7:00:00	User I/O	direct path write temp	PL/SQL EXECUTE	EMPTY	EMPTY	7dd1yy6c3pqpb	2
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	8yf0tyg8s89wr	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	b266bx6qvdtbv	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	2k9r6p6fdq6n4	1
17/12/2020 7:00:00	Other	LGWR all worker groups	EMPTY	EMPTY	EMPTY		6
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	CONNECT BY	WITH FILTERING	0kt0ugxbz20uz	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	6vhhrfkqrfk4k	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	TABLE ACCESS	BY INDEX ROWID BATCHED	bb46rzh6jfqxa	9
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	FILTER	EMPTY	fgg0su12atubs	20
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	52npjpgjadu5c	4
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	LOAD TABLE CONVENTIONAL	EMPTY	5t6jwshgx56hx	6
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	69jmxfn75u71d	5
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	2k9r6p6fdq6n4	1
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	DELETE STATEMENT	EMPTY	davx7uqgatrzs	1
17/12/2020 7:00:00	User I/O	flashback log file sync	PL/SQL EXECUTE	EMPTY	EMPTY	7dd1yy6c3pqpb	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	0hwra8nj96j12	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	6v0z5zmstx6xg	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	9nhd25njnnu55	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	74usucyxwxxwf	1
17/12/2020 7:00:00	User I/O	db file sequential read	PL/SQL EXECUTE	EMPTY	EMPTY	bmypn29wt6wfw	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	2ddq3x5dv2hcy	1
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	TABLE ACCESS	BY INDEX ROWID	64p10d4t8hhsj	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	bv7r1268snt0m	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	3694ar7k3sd88	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	4m7m0t6fjcs5x	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	8qk397c55n3kb	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	76gjkcz0z1tts	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	4m7m0t6fjcs5x	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	8hx5p0uxzubnq	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	8zj7rz1h85p09	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	5h7x3zk0sy61s	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	63qusmjwxv2n3	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	7ucsz531qbhdd	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	fvac5uq7u0rrm	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	112kufssgz0ys	17
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	52ddfuvbtac60	3
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	f4u4s8d5kuk56	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	f5pkkztwbpqfa	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	1acpx2sbx0xab	1
17/12/2020 7:00:00	User I/O	db file sequential read	UPDATE	UPDATE	EMPTY	33p67qc8u0vm2	2
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	INDEX	RANGE SCAN	64p10d4t8hhsj	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	9x2bd1ag1ug53	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	7c371ycfgwxdv	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	35r0ukarndq76	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	FIXED TABLE	FULL	c9059z5ksrf1x	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	9zvc158pftppj	8
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	2k9r6p6fdq6n4	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	bmypn29wt6wfw	45
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	8tpxwczs7pxnz	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	bj3au4yvp0y49	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	1fwb92v642b2d	1
17/12/2020 7:00:00	Application	enq: TX - row lock contention	SELECT	FOR UPDATE	EMPTY	0vst029669k3a	2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	df9jfq4j641xy	7
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	2cy4h25ap56tf	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	dfh44hr9vpgxd	1
17/12/2020 7:00:00	User I/O	db file sequential read	INSERT	EMPTY	EMPTY	9zvc158pftppj	2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	7vz3g9zf47vqf	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	1tx0s08apznw7	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	210rm180fnkc0	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	fgg0su12atubs	4
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	b78s49d5krc79	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	fvpyypqv17xqf	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	dbc72uhm11pur	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	gh1435xu5hrgu	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	EMPTY	EMPTY	6v0z5zmstx6xg	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	WINDOW	SORT	6kwaqy1smwdhk	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	fxdy3bvdw7whp	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	EMPTY	EMPTY	d7mpvb1nr0bmb	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	dawxa1659qbc6	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	aygrzmk581n0z	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	112kufssgz0ys	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	9k7ugcsxztbnt	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	2xzgrdgt1jg79	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	5hkjx7smwcg50	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	FULL SCAN	b4bd37j1wq53g	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	fmtbn9qvvapf1	1
17/12/2020 7:00:00	User I/O	direct path write	PL/SQL EXECUTE	EMPTY	EMPTY	bmypn29wt6wfw	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	33p67qc8u0vm2	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	cqrubw5y9w9sn	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	f0k0maumshf7b	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	3rvj4uv4ub0a7	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	69f73djka87z1	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	6vmju1kc9jdhd	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	2gzpgp42tc5sa	1
17/12/2020 7:00:00	System I/O	log file parallel write	EMPTY	EMPTY	EMPTY		96
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	FULL SCAN	6nyk23k3ud2a8	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	1r9b7fm4a5umw	25
17/12/2020 7:00:00	User I/O	db file sequential read	SELECT	FOR UPDATE	EMPTY	d44mr6xk59667	10
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	1z0chyxv1z5fj	5
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	a828qc5am3q74	2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	7dd1yy6c3pqpb	5
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	bsmtmmh0b0jhc	2
17/12/2020 7:00:00	User I/O	db file sequential read	INSERT	EMPTY	EMPTY	6nwa6njjr145b	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	6z5z6m9ydtrd4	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	f381rzps97sqy	11
17/12/2020 7:00:00	User I/O	db file sequential read	SELECT	FOR UPDATE	EMPTY	31d2tgr149sca	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	g87ph78kfpxpf	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	HASH JOIN	EMPTY	5m0ybfzxvqs5k	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	53tqwsywxgzm1	8
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	c9dvbc0r6f2yw	3
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	5h7x3zk0sy61s	2
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	g1sv40mnnk0dh	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	2s1cthqrcyqm5	1
17/12/2020 7:00:00	Application	enq: TX - row lock contention	SELECT	FOR UPDATE	EMPTY	37mw4zb4ymwrj	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	fszhkgu4yhz5h	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	8n63vw6aba8rg	4
17/12/2020 7:00:00	Other	LGWR any worker group	EMPTY	EMPTY	EMPTY		43
17/12/2020 7:00:00	System I/O	db file parallel write	EMPTY	EMPTY	EMPTY		7
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	LOAD TABLE CONVENTIONAL	EMPTY	4nk0zf41cymdg	1
17/12/2020 7:00:00	Commit	log file sync	EMPTY	EMPTY	EMPTY		13
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE STATEMENT	EMPTY	2w9uaymw3bdkf	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	3694ar7k3sd88	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	guymduh39m84r	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	9ac7scq121506	2
17/12/2020 7:00:00	User I/O	db file sequential read	INSERT	EMPTY	EMPTY	59c0zgmyvndt3	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	HASH	GROUP BY	fgg0su12atubs	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	UNIQUE SCAN	gm154pxz52r9m	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	EMPTY	EMPTY	d44mr6xk59667	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	021qzjwt17kvq	1
17/12/2020 7:00:00	ONCPU	ONCPU	DELETE	DELETE	EMPTY	df7jx093jqacp	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	0s1pkbu2cs00j	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	5m0ybfzxvqs5k	2
17/12/2020 7:00:00	User I/O	direct path write temp	PL/SQL EXECUTE	EMPTY	EMPTY	6v1j5u2yshkkz	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	EMPTY	EMPTY	fp6zp2ddj5am6	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	7tjz9tan1b8dd	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	1uadkb2upbz19	1
17/12/2020 7:00:00	System I/O	flashback log file write	EMPTY	EMPTY	EMPTY		1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	fa53f27x2fxkm	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	fv4x5k3bncdx7	5
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	8byq6tjnfk69z	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	FULL SCAN	fv4x5k3bncdx7	5
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	1pyvzz71xspk9	5
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	67z17kghr0qu9	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	3pgwxcuv6yps3	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	2jfqzrxhrm93b	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	cvvyhd7w0f266	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	64sd5zr8bz9kv	2
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	0u6hh1zmxzd7p	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	FOR UPDATE	EMPTY	1skhupr9yr5g1	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	INDEX	UNIQUE SCAN	8wwf8akdspmu0	1
17/12/2020 7:00:00	User I/O	direct path write temp	PL/SQL EXECUTE	EMPTY	EMPTY	8tpxwczs7pxnz	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	49jv2cxca9w9p	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	g9ugqnrhhpd0b	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	4gc60hdj32r5z	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	4mr3dhtdyrtra	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	f0k0maumshf7b	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	FILTER	EMPTY	112kufssgz0ys	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID BATCHED	cdprwm9dxwvcx	40
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	HASH JOIN	OUTER	fgg0su12atubs	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	d44mr6xk59667	4
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	g3276wdspjxf6	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	INSERT STATEMENT	EMPTY	7sph7ycw3dudf	1
17/12/2020 7:00:00	User I/O	direct path write temp	PL/SQL EXECUTE	EMPTY	EMPTY	68r1grpmy60xn	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	PARTITION HASH	ALL	9ac7scq121506	2
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	FULL	02fjjwwvw361h	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	INDEX	RANGE SCAN	cdprwm9dxwvcx	2
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	a1k321zu3rfmk	1
17/12/2020 7:00:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	7jr7rvy88bah9	3
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	673vhw0ja10vt	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	5t6jwshgx56hx	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	PARTITION HASH	ITERATOR	1kc71ckqh7y80	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	EMPTY	EMPTY	8sr6qny5a5zpx	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	6kwaqy1smwdhk	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	EMPTY	EMPTY	fsujchw3ruqy8	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	1k5c5twx2xr01	1
17/12/2020 7:00:00	ONCPU	ONCPU	UPDATE	UPDATE	EMPTY	fsujchw3ruqy8	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	5uqfngwq5mp2a	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	c3ya98ddj5x45	1
17/12/2020 7:00:00	ONCPU	ONCPU	INSERT	EMPTY	EMPTY	66qsdsv1cwc0z	1
17/12/2020 7:00:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	9crakgmnnpj46	1
17/12/2020 7:01:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	68g44kny19kfq	1
17/12/2020 7:01:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	8n63vw6aba8rg	2
17/12/2020 7:01:00	ONCPU	ONCPU	PL/SQL EXECUTE	EMPTY	EMPTY	7dd1yy6c3pqpb	5
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	INDEX	FULL SCAN	b4bd37j1wq53g	1
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	4n7sfcjgr6f76	1
17/12/2020 7:01:00	System I/O	db file parallel write	EMPTY	EMPTY	EMPTY		21
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	TABLE ACCESS	BY INDEX ROWID	63qusmjwxv2n3	1
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	SORT	ORDER BY	7s655tbnp6rm5	1
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	EMPTY	EMPTY	4v5cxa2s50msw	1
17/12/2020 7:01:00	ONCPU	ONCPU	SELECT	SELECT STATEMENT	EMPTY	3694ar7k3sd88	1
